data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6996791,4,AFG44631,44631,"21 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Balkh,"Dawlat Abad",,"Dawlat Abad",36.9882,66.8207,2,"Xinhua; Khaama Press",National-International,"On 21 March 2020, 12 Taliban militants including 2 commanders were killed and 5 including a commander were wounded when Afghan forces repulsed their attack in Dawlat Abad district, Balkh.",12,1584984341,AFG
6997066,4,AFG44667,44667,"21 March 2020",2020,1,"Violence against civilians",Attack,"Unidentified Armed Group (Afghanistan)",,3,"Civilians (Afghanistan)","Muslim Group (Afghanistan); Teachers (Afghanistan)",7,37,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Pajhwok Afghan News",National,"On 21 March 2020, 1 religious scholar and teacher was killed by an unknown gunmen in Kabul city.",1,1584984341,AFG
6997171,4,AFG44715,44715,"21 March 2020",2020,2,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Balkh,"Nahri Shahi",,"Nahri Shahi",36.8544,67.18,2,"Voice of Jihad",Other,"As reported on 21 March 2020, 3 Afghan security personnel were killed and 5 were wounded following an attack by Taliban militants on a check point in Nahri Shahi district, Balkh. Fatalities coded as 0 (VoJ reported 3 fatalities).",0,1584984341,AFG
6997188,4,AFG44765,44765,"21 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Nangarhar,Shinwar,,Shinwar,34.1959,70.8318,2,"Voice of Jihad",Other,"On 21 March 2020, 2 soldiers were wounded following an ambush by Taliban militants in Shinwar (Ghani Khel) district, Nangarhar.",0,1584984341,AFG
6997208,4,AFG44762,44762,"21 March 2020",2020,2,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Nangarhar,Sherzad,,Sherzad,34.25,70.01,2,"Voice of Jihad",Other,"As reported on 21 March 2020, 1 soldier was killed and 1 was wounded during clashes with Taliban militants in Sherzad district, Nangarhar. Fatalities coded as 0 (VoJ reported 1 fatality).",0,1584984341,AFG
6997211,4,AFG44655,44655,"21 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Herat,Gulran,,Gulran,35.1055,61.6873,2,Xinhua,International,"On 21 March 2020, 4 Taliban militants including a commander were killed in clashes with Afghan security forces in Gulran district, Heart.",4,1584984342,AFG
6997212,4,AFG44723,44723,"21 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Militia (Pro-Government)",,3,23,"Caucasus and Central Asia",Afghanistan,Kapisa,Nijrab,,Nijrab,34.9789,69.5724,2,Xinhua,International,"On 21 March 2020, 4 pro-government militia members and 3 Taliban militants were killed and 1 militia member was wounded following attacks by Taliban on check points in Nijrab district, Kapisa.",7,1584984342,AFG
6997060,4,AFG44590,44590,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Police Forces of Afghanistan (2014-) Afghan Local Police","Militia (Pro-Government)",1,12,"Caucasus and Central Asia",Afghanistan,Kapisa,Nijrab,,Afghanyah,34.9596,69.6186,1,"Pajhwok Afghan News",National,"On 20 March 2020, at least 5-7 local policemen and 2 pro-government militia members were killed following attacks on check points in the Afghanyah area of Nijrab district, Kapisa. 3 militants were also killed.",10,1584984341,AFG
6997078,4,AFG44601,44601,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Militia (Pro-Government)",,3,23,"Caucasus and Central Asia",Afghanistan,Badakhshan,Argo,,Argo,37.0635,70.4253,2,"Voice of Jihad",Other,"On 20 March 2020, 1 'Arbaki' commander was killed following an attack by Taliban militants in Argo district, Badakhshan. Fatalities coded as 0 (VoJ reported 1 fatality).",0,1584984341,AFG
6997095,4,AFG44621,44621,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Balkh,Charbolak,,Charbolak,36.7598,66.7227,2,"Voice of Jihad",Other,"On 20 March 2020, 1 soldier was killed by a Taliban sniper in Charbolak district, Balkh. Fatalities coded as 0 (VoJ reported 1 fatality).",0,1584984341,AFG
6996840,4,AFG44602,44602,"20 March 2020",2020,1,Battles,"Armed clash","Military Forces of Afghanistan (2014-) Special Forces",,1,Taliban,,2,12,"Caucasus and Central Asia",Afghanistan,Badakhshan,Argo,,Argo,37.0635,70.4253,2,"Khaama Press",National,"On 20 March 2020, 1 Taliban militant was killed by Afghan commando forces in Argo district, Badakhshan.",1,1584984341,AFG
6997096,4,AFG44622,44622,"20 March 2020",2020,1,"Violence against civilians",Attack,"Military Forces of Afghanistan (2014-)",,1,"Civilians (Afghanistan)","Labour Group (Afghanistan)",7,17,"Caucasus and Central Asia",Afghanistan,Badghis,Muqur,,"Chashmah-ye Duzakh",35.0876,63.0879,1,"Voice of Jihad",Other,"On 20 March 2020, 2 civilians, merchants, were killed by Afghan forces in the Chashmah-ye Duzakh area of Muqur district, Badghis. Fatalities coded as 0 (VoJ reported 2 fatalities).",0,1584984341,AFG
6996841,4,AFG44632,44632,"20 March 2020",2020,1,Battles,"Armed clash","Military Forces of Afghanistan (2014-) Special Forces",,1,Taliban,,2,12,"Caucasus and Central Asia",Afghanistan,Faryab,"Dawlat Abad",,"Dawlat Abad",36.4326,64.9207,2,"Khaama Press",National,"On 20 March 2020, 7 Taliban militants were killed and 11 were wounded by Afghan commando forces' attack in Dawlat Abad district, Faryab.",7,1584984341,AFG
6997104,4,AFG44777,44777,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Takhar,Taluqan,,Taloqan,36.7341,69.5336,1,"Voice of Jihad",Other,"On 20 March 2020, at least 3 soldiers were killed following an ambush by Taliban militants in Talogan city, Takhar. 4 soldiers were killed and many were wounded following attacks on a tank in the city. Fatalities coded as 0 (VoJ reported 7 fatalities).",0,1584984341,AFG
6997110,4,AFG44637,44637,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Farah,Farah,,"Dehyak-e Kalan",32.4551,62.1719,1,"Voice of Jihad",Other,"On 20 March 2020, 1 Afghan security personnel was killed by a Taliban sniper in the Dehyak-e Kalan area of Farah city. Fatalities coded as 0 (VoJ reported 1 fatality).",0,1584984341,AFG
6997115,4,AFG44643,44643,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Paktia,Gardez,,Gardez,33.5974,69.2259,1,"Voice of Jihad",Other,"On 20 March 2020, 2 soldiers were killed by a Taliban sniper in the limits of Gardez city, Paktia. 2 Afghan security personnel were killed following an attack on a check point in the city. Fatalities coded as 0 (VoJ reported 4 fatalities).",0,1584984341,AFG
6997140,4,AFG44725,44725,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Herat,Obe,,Obe,34.3697,63.1764,2,"Voice of Jihad",Other,"On 20 March 2020, 5 Afghan security personnel were killed and 7 were wounded following an attack by Taliban militants on a convoy in the limits of Obe district, Herat. Fatalities coded as 0 (VoJ reported 5 fatalities).",0,1584984341,AFG
6997142,4,AFG44774,44774,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Kapisa,Tagab,,Tagab,34.855,69.6492,2,"Voice of Jihad",Other,"On 20 March 2020, 1 soldier was killed following an attack by Taliban militants on a check point in Tagab district, Kapisa. Fatalities coded as 0 (VoJ reported 1 fatality).",0,1584984341,AFG
6997145,4,AFG44680,44680,"20 March 2020",2020,1,"Explosions/Remote violence","Remote explosive/landmine/IED",Taliban,,2,"Police Forces of Afghanistan (2014-) National Directorate of Security",,1,12,"Caucasus and Central Asia",Afghanistan,Khost,Khost,,Khost,33.3395,69.9204,1,"Voice of Jihad",Other,"On 20 March 2020, 1 NDS employee was killed when his vehicle hit a Taliban-planted IED in Khost city. Fatalities coded as 0 (VoJ reported 1 fatality).",0,1584984341,AFG
6997150,4,AFG44735,44735,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Militia (Pro-Government)",,3,23,"Caucasus and Central Asia",Afghanistan,Logar,"Pul i Alam",,"Puli Alam",33.9953,69.0227,1,"Voice of Jihad",Other,"On 20 March 2020, 1 'Arbaki' was killed by Taliban militants in Puli Alam city, Logar. Fatalities coded as 0 (VoJ reported 1 fatality).",0,1584984341,AFG
6997169,4,AFG44713,44713,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Helmand,"Nad Ali",,"Nad-e Ali",31.6323,64.2645,2,"Voice of Jihad",Other,"On 20 March 2020, 7 Afghan security personnel and 1 militant were killed, and many Afghan security personnel and 2 militants were wounded in an attack by Taliban militants on a check point in the Dabaro Qulf area of Nad Ali district, Helmand. Fatalities coded as 0 (VoJ reported 8 fatalities).",0,1584984341,AFG
6997173,4,AFG44717,44717,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Militia (Pro-Government)",,3,23,"Caucasus and Central Asia",Afghanistan,Baghlan,Nahrin,,Nahrin,36.0649,69.1334,2,"Voice of Jihad",Other,"On 20 March 2020, 2 'Arbakis' were wounded following an attack by Taliban militants on a check point in Nahrin district, Baghlan.",0,1584984341,AFG
6997185,4,AFG44730,44730,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Baghlan,"Pul-e Khumri",,"Pul-e Khumri",35.9446,68.7151,2,"Voice of Jihad",Other,"On 20 March 2020, 2 soldiers were killed and 1 was wounded following attacks by Taliban militants in Pul-e Khumri district, Baghlan. Fatalities coded as 0 (VoJ reported 2 fatalities).",0,1584984341,AFG
6997191,4,AFG44783,44783,"20 March 2020",2020,1,"Explosions/Remote violence","Remote explosive/landmine/IED",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Zabul,"Tarnak Wa Jaldak",,"Tarnak Wa Jaldak",31.9055,66.5167,2,"Voice of Jihad",Other,"On 20 March 2020, at least 1 soldier was killed and 1 was wounded by a Taliban-planted landmine while they were on a motorbike in the Bazar area of Tarnak Wa Jaldak (Shahr-e-Safa) district, Zabul. Fatalities coded as 0 (VoJ reported 1 fatalities).",0,1584984341,AFG
6997199,4,AFG44763,44763,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Militia (Pro-Government)",,3,23,"Caucasus and Central Asia",Afghanistan,Jowzjan,Shibirghan,,Shibirghan,36.6676,65.7529,1,"Voice of Jihad",Other,"On 20 March 2020, 2 'Arbakis' were wounded following an ambush by Taliban militants in Shibirghan city, Jowzjan.",0,1584984341,AFG
6997200,4,AFG44764,44764,"20 March 2020",2020,1,"Explosions/Remote violence","Remote explosive/landmine/IED",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Jowzjan,Shibirghan,,Shibirghan,36.6676,65.7529,1,"Voice of Jihad",Other,"On 20 March 2020, 3 soldiers were killed and a commander was wounded when their tank was hit by a Taliban-planted roadside bomb in Shibirghan city, Jowzjan. Fatalities coded as 0 (VoJ reported 3 fatalities).",0,1584984341,AFG
6997204,4,AFG44759,44759,"20 March 2020",2020,1,"Strategic developments","Change to group/activity","Military Forces of Afghanistan (2014-)",,1,Taliban,,2,12,"Caucasus and Central Asia",Afghanistan,Ghor,Shahrak,,Shahrak,34.1074,64.3052,2,"Voice of Jihad",Other,"Change to armed group: On 20 March 2020, 25 Afghan security personnel including a commander joined Taliban militants in the Astu area of Shahrak district, Ghor.",0,1584984341,AFG
6997205,4,AFG44781,44781,"20 March 2020",2020,1,Battles,"Armed clash",Taliban,,2,"Military Forces of Afghanistan (2014-)",,1,12,"Caucasus and Central Asia",Afghanistan,Urozgan,Tarinkot,,Tarinkot,32.6268,65.8733,1,"Voice of Jihad",Other,"On 20 March 2020, 2 Afghan security personnel were killed by a Taliban sniper in the Paie Nawa area of Tarinkot city, Urozgan. Fatalities coded as 0 (VoJ reported 2 fatalities).",0,1584984341,AFG
